1,10005,216,609,True,Scor atins
2,10005,230,619,True,Scor atins
3,10040,215,640,True,Scor atins
4,10010,222,629,True,Scor atins
5,10015,239,648,True,Scor atins
6,10000,223,644,True,Scor atins
7,10015,198,596,True,Scor atins
8,10015,214,617,True,Scor atins
9,10020,247,686,True,Scor atins
10,10010,209,641,True,Scor atins
11,10000,233,665,True,Scor atins
12,10005,195,622,True,Scor atins
13,10005,223,621,True,Scor atins
14,10000,203,607,True,Scor atins
15,10000,213,632,True,Scor atins
16,10045,241,662,True,Scor atins
17,10010,205,576,True,Scor atins
18,10005,200,581,True,Scor atins
19,10000,210,660,True,Scor atins
20,10000,178,605,True,Scor atins
21,10005,265,702,True,Scor atins
22,10030,217,638,True,Scor atins
23,10000,238,669,True,Scor atins
24,10000,231,642,True,Scor atins
25,10010,199,600,True,Scor atins
26,10000,180,590,True,Scor atins
27,10040,219,642,True,Scor atins
28,10000,257,672,True,Scor atins
29,10005,211,607,True,Scor atins
30,10000,218,646,True,Scor atins
31,10020,208,609,True,Scor atins
32,10000,198,633,True,Scor atins
33,10005,211,630,True,Scor atins
34,10010,238,653,True,Scor atins
35,10045,209,622,True,Scor atins
36,10000,231,657,True,Scor atins
37,10020,228,660,True,Scor atins
38,10015,223,639,True,Scor atins
39,10000,231,655,True,Scor atins
40,10000,228,646,True,Scor atins
41,10010,226,634,True,Scor atins
42,10005,214,630,True,Scor atins
43,10000,239,645,True,Scor atins
44,10025,196,631,True,Scor atins
45,10020,212,621,True,Scor atins
46,10000,220,659,True,Scor atins
47,10025,237,656,True,Scor atins
48,10010,207,624,True,Scor atins
49,10020,214,626,True,Scor atins
50,10005,247,681,True,Scor atins
51,10005,223,628,True,Scor atins
52,10005,213,630,True,Scor atins
53,10005,249,660,True,Scor atins
54,10020,223,662,True,Scor atins
55,10000,225,648,True,Scor atins
56,10005,195,619,True,Scor atins
57,10005,231,639,True,Scor atins
58,10010,257,714,True,Scor atins
59,10025,210,626,True,Scor atins
60,10015,248,668,True,Scor atins
61,10005,216,639,True,Scor atins
62,10010,206,601,True,Scor atins
63,10005,226,672,True,Scor atins
64,10000,221,593,True,Scor atins
65,10005,210,622,True,Scor atins
66,10025,229,640,True,Scor atins
67,10000,200,646,True,Scor atins
68,10000,183,571,True,Scor atins
69,10005,230,655,True,Scor atins
70,10005,203,623,True,Scor atins
71,10020,207,613,True,Scor atins
72,10020,201,607,True,Scor atins
73,10005,219,634,True,Scor atins
74,10005,186,594,True,Scor atins
75,10010,189,616,True,Scor atins
76,10000,216,610,True,Scor atins
77,10060,253,641,True,Scor atins
78,10000,236,658,True,Scor atins
79,10000,213,629,True,Scor atins
80,10080,240,641,True,Scor atins
81,10005,218,658,True,Scor atins
82,10000,233,644,True,Scor atins
83,10010,240,635,True,Scor atins
84,10000,243,645,True,Scor atins
85,10000,213,652,True,Scor atins
86,10005,225,632,True,Scor atins
87,10000,238,679,True,Scor atins
88,10010,242,704,True,Scor atins
89,10005,246,667,True,Scor atins
90,10000,223,622,True,Scor atins
91,10020,255,675,True,Scor atins
92,10000,213,639,True,Scor atins
93,10025,214,604,True,Scor atins
94,10010,227,634,True,Scor atins
95,10015,228,692,True,Scor atins
96,10000,219,638,True,Scor atins
97,10025,225,631,True,Scor atins
98,10005,264,696,True,Scor atins
99,10005,226,619,True,Scor atins
100,10015,234,665,True,Scor atins
Scor average,10010.4,Swap-uri average,221.5
